brand,model,price_egp,cpu,cpu_cores,cpu_max_speed,cpu_score,gpu,vram,ram,hard_capacity,display_size,refresh_rates,resolution,warranty,warranty_duration,windows_11,seller,link_to_product
Msi,Thin A15 B7V,"49,999",AMD Ryzen 7 7735HS,8,4.75,"23,105",NVIDIA GeForce RTX 4060,8,16,512GB,15.6,144Hz,1920x1080,1,1,1,Dream 2000,https://dream2000.com/en/msi-thin-a15-b7v-gaming-laptop-amd-ryzentm-7-7735hs-16gb-ram-512gb-ssd-geforce-rtxtm-4060-8gb-15-6-fhd-144hz-win11-cosmos-gray.html
HP,Victus 15-FA1097NE,"48,888",Intel Core i7 13700H,14,5,"26,315",NVIDIA GeForce RTX 4050,6,16,512GB,15.6,144Hz,1920x1080,1,1,0,EGYPTLAPTOP,https://egyptlaptop.com/laptops/hp-victus-15-fa1097ne-gaming-laptop-intel-core-i7-13700h-512gb-ssd-16gb-ram-nvidia-geforce-rtx-4050-6gb-15-6-inch-fhd-mica-silver
HP,Victus 15-fa1007ne,"47,999",Intel Core i7 13700H,14,5,"26,315",NVIDIA GeForce RTX 3050,6,16,512GB,15.6,144Hz,1920x1080,1,1,1,Dream 2000,https://dream2000.com/en/hp-victus-gaming-laptop-intelr-coretm-i7-13700h-16gb-ram-512gb-nvidia-geforce-rtx-3050-6gb-15-6-fhd-win-11-15-fa1007ne-mica-silver.html
HP,Victus 15-fa1109ne 9S7R2EA,"47,999",Intel Core i7 13700H,14,5,"26,315",NVIDIA GeForce RTX 4060,6,16,512GB,15.6,60Hz,1920x1080,1,1,1,2B,https://2b.com.eg/en/hp-victus-15-fa1109ne-laptop-intelr-core-i7-13700h-16gb-512gb-ssd-nvidiar-geforce-rtx-3050-6gb-15-6-fhd-win11-blue.html
HP,Victus 15-fa1111ne 9U5Y8EA#ABV,"47,899",Intel Core i7 13700H,14,5,"26,315",NVIDIA GeForce RTX 4060,6,16,512GB,15.6,144Hz,1920x1080,1,1,1,2B,https://2b.com.eg/en/hp-victus-15-fa1111ne-laptop-intelr-core-i7-13700h-16gb-512gb-ssd-nvidiar-geforcer-rtx-4050-6gb-15-6-fhd-144hz-win11-mica-silver.html
Lenovo,LOQ 15IRX9 83DV008PED,"47,600.00",Intel Core i7 13650HX,14,4.9,"30,649",NVIDIA GeForce RTX 4050,6,16,512GB,15.6,144Hz,1920x1080,1,2,0,TECHNOLOGYVALLEY,https://tv-it.com/products/lenovo-loq-15irx9-gaming-laptop-83dv008ped
HP,Victus 15-fa1111ne 9U5Y8EA,"47,499",Intel Core i7 13700H,14,5,"26,315",NVIDIA GeForce RTX 4050,6,16,512GB,15.6,144Hz,1920x1080,0,0,1,B.TECH,https://beta.btech.com/en/p/hp-victus-15-fa1111ne-9u5y8ea-gaming-laptop-15-6-inch-fhd-144hz-mica-silver/5f1908c0-1c15-4ae6-8504-a445ee76ba17
HP,Victus 15-fa1109ne 9S7R2EA,"47,499",Intel Core i7 13700H,14,5,"26,315",NVIDIA GeForce RTX 4050,6,16,512GB,15.6,144Hz,1920x1080,0,0,1,B.TECH,https://beta.btech.com/en/p/hp-victus-15-fa1109ne-9s7r2ea-gaming-laptop-15-6-inch-fhd-144-hz-performance-blue/a6bd73d6-6e81-42fe-b85b-fe3be3501249
MSI,Cyborg 15 A13VF,"47,499.00",Intel Core i7 13620H,10,4.9,"24,111",NVIDIA GeForce RTX 4060,8,16,512GB,15.6,144Hz,1920x1080,1,2,0,compuscience,https://compuscience.com.eg/en/laptop/4442-3377-msi-cyborg-15-a13vf-i7-13620h-16gb-ram-512-ssd-rtx4060-ddr6-8gb-156-inch-fhd-144hz.html#/72-payment_plan-cash
MSI,Cyborg 15 A13VF,"47,499",Intel Core i7 13620H,10,4.9,"24,111",NVIDIA GeForce RTX 4060,8,16,512GB,15.6,144Hz,1920x1080,1,2,0,EGYPTLAPTOP,https://egyptlaptop.com/laptops/msi-cyborg-15-a13vf-intel-core-i7-13620h-512gb-ssd-16gb-ram-nvidia-geforce-rtx-4060-8gb-15-6-inch-fhd
MSI,Cyborg 15 A13VF-882XEG,"47,499",Intel Core i7 13620H,10,4.9,"24,111",NVIDIA GeForce RTX 4060,8,16,512GB,15.6,144Hz,1920x1080,1,2,1,kimostore,https://kimostore.net/products/msi-cyborg-15-a13vf-882xeg-laptop-intel-core-i7-13620h-16gb-ram-m-2-nvme-512gb-nvidia-rtx-4060-8gb-15-6-inch-fhd-ips-144hz-win11-black?_pos=21&_fid=80ebf0845&_ss=c
HP,Pavilion Gaming 15-DK2110NE,"47,444",Intel Core i7 11370H,4,4.8,"11,583",NVIDIA GeForce RTX 3050 Ti,4,16,1TB,15.6,144Hz,1920x1080,1,1,1,kimostore,https://kimostore.net/products/hp-pavilion-gaming-15-dk2110ne-laptop-intel-core-i7-11370h-16gb-ram-m-2-nvme-1tb-nvidia-rtx-3050-ti-4gb-15-6-inch-fhd-ips-144hz-win11?_pos=6&_fid=80ebf0845&_ss=c
MSI,Cyborg 15 A13VF 9S7-15K111-882,"47,000.00",Intel Core i7 13620H,10,4.9,"24,111",NVIDIA GeForce RTX 4060,8,16,512GB,15.6,144Hz,1920x1080,0,0,0,TECHNOLOGYVALLEY,https://tv-it.com/products/msi-cyborg-15-a13vf-gaming-laptop-9s7-15k111-882
Lenovo,LOQ 15IRX9 83DV008QED,"46,999",Intel Core i5 13650HX,14,4.9,"30,649",NVIDIA GeForce RTX 3050,6,16,512GB,15.6,144Hz,1920x1080,1,1,1,Dream 2000,https://dream2000.com/en/lenovo-83dv008qed-loq-15irx9-intelr-coretm-i7-13650hx-ram-16gb-512gb-ssd-nvidiarrtx3050-15-6-fhd-luna-grey.html
HP,Victus 15-FA1097NE,"46,999",Intel Core i7 13700H,14,5,"26,315",NVIDIA GeForce RTX 4050,6,16,512GB,15.6,144Hz,1920x1080,1,1,0,kimostore,https://kimostore.net/products/hp-victus-15-fa1097ne-gaming-laptop-intel-core-i7-13700h-16gb-ram-m-2-nvme-512gb-nvidia-rtx-4050-6gb-15-6-inch-fhd-ips-144hz-silver?_pos=13&_fid=80ebf0845&_ss=c
Lenovo,LOQ 15IRX9 83DV008QED,"46,899",Intel Core i7 13650HX,14,4.9,"30,649",NVIDIA GeForce RTX 3060,6,16,512GB,15.6,,1920x1080,1,2,0,2B,https://2b.com.eg/en/lenovo-loq-15irx9-laptop-intelr-coretm-i7-13650hx-16gb-512gb-ssd-nvidiar-geforce-rtxtm-3050-6gb-15-6-fhd-luna-grey.html
